pool_id,chain,project,symbol,pool_meta,tvl_usd,apy_base,apy_reward,stablecoin,pulled_at,project_canon
bf346d43-ef94-4277-b159-ebadb93caef1,Base,morpho-v1,BBQUSDC,,6115458,5.45702,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
85f878ab-9ae3-4524-afa5-f1356dfb361f,Arbitrum,euler-v2,USDC,EVK Vault eUSDC-2,5948282,3.34984,,True,2025-12-14T21:56:31.158038,euler-v2
44a4e84a-4ad1-4783-ac83-3d7e432220ea,Base,morpho-v1,MEUSD,,5938825,0.23383,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
cd35c563-0b37-47f6-a522-c7e5240b3f65,Base,morpho-v1,STEAKEURC,,5788782,1.44574,1.17981,True,2025-12-14T21:56:31.158038,morpho-v1
200fd130-7cd2-4eec-a24d-03c12dfb4751,Katana,morpho-v1,BBQUSDC,,5280454,4.95905,4.85523,True,2025-12-14T21:56:31.158038,morpho-v1
c13f1940-9965-4eee-b7e8-af785591ceda,Arbitrum,morpho-v1,BBQUSDC,,4672479,4.08101,1.4502,True,2025-12-14T21:56:31.158038,morpho-v1
059fa0e6-7402-498c-bfa8-561baf4e82ec,Avalanche,euler-v2,USDC,EVK Vault eUSDC-19,4518805,6.06978,,True,2025-12-14T21:56:31.158038,euler-v2
2d3cb29c-5a48-4ef0-8761-16796f9f143c,Arbitrum,morpho-v1,YDG-USDC,,4463218,5.22252,1.14158,True,2025-12-14T21:56:31.158038,morpho-v1
800c94ce-23db-4ee8-ab56-44fe0da9905f,Base,morpho-v1,RE7USDC,,4092607,5.80191,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
735fb238-6c21-44b0-9f02-31fb880836e6,Base,morpho-v1,YOUSD,,4090385,,,True,2025-12-14T21:56:31.158038,morpho-v1
18e2bbf0-f05f-4802-8e1e-d0ec4ab9a4d0,Base,fluid-lending,EURC,,4036805,1.23,2.3,True,2025-12-14T21:56:31.158038,fluid-lending
8284ad2b-7a48-463f-8295-1e93ba80552a,Katana,morpho-v1,YVAUSD,,3816880,,,True,2025-12-14T21:56:31.158038,morpho-v1
3442a28d-039b-4931-b762-c7f921450351,Katana,morpho-v1,GTAUSD,,3794660,0.47664,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
652e70b1-6489-4e6c-93c7-40c1ec72e272,Base,fluid-lending,GHO,,3718225,2.56,4.29,True,2025-12-14T21:56:31.158038,fluid-lending
244d02aa-7ebf-4cf8-959c-abb350e0d677,Hyperliquid,morpho-v1,FEUSDHL,,3528589,3.93516,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
fc3b1c80-83bc-453f-91d9-106cb58443a6,Unichain,morpho-v1,GTUSDT0C,,3329017,0.02457,5.19469,True,2025-12-14T21:56:31.158038,morpho-v1
65653183-7d69-408f-a76c-9dd2914f306f,Base,morpho-v1,GTUSDCC,,3168275,5.37015,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
82e1f694-1a4e-4390-93ef-ca416bcbe69d,Arbitrum,morpho-v1,SUSDAI,,3101728,,,True,2025-12-14T21:56:31.158038,morpho-v1
fa3d7f72-7a2e-4275-863a-228cb247a096,Hyperliquid,morpho-v1,GTUSDCC,,3073055,6.6425,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
832c94db-4948-4f14-aa65-af6e737d984e,Base,morpho-v1,BBQUSDC,,2941761,5.48614,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
b64ea0b3-befa-4333-be3d-91f0d19e3e6d,Polygon,fluid-lending,USDC,,2915906,4.04,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
59821f18-29a2-4086-9841-8417a4101c83,Katana,morpho-v1,STEAKAUSD,,2889014,0.17195,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
91a13ad5-0687-4d6f-a789-da86b149d817,Arbitrum,euler-v2,USDC,EVK Vault eUSDC-6,2560024,5.78583,,True,2025-12-14T21:56:31.158038,euler-v2
2fd1cfc4-4a39-4db5-8a65-ca7b67470033,Polygon,morpho-v1,COMPUSDT,,2279324,2.3012,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
44b5ceb6-274a-4193-9665-ff497ec1e535,Base,morpho-v1,HYCSUSDC,,1898075,6.13853,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
0ac2ba70-3590-4214-9963-d8018d964041,Monad,morpho-v1,WSRUSD,,1613201,,,True,2025-12-14T21:56:31.158038,morpho-v1
5b8bbe28-78fe-4c17-b4dc-18161dc59b2d,Base,morpho-v1,BSDETH,,1605811,,,True,2025-12-14T21:56:31.158038,morpho-v1
dad0dcf0-b2cb-400a-882c-3c29381411d0,Linea,euler-v2,MUSD,EVK Vault emUSD-3,1574187,0.17557,,True,2025-12-14T21:56:31.158038,euler-v2
5b612a74-c463-4f9d-902b-b921f4fcb07c,Monad,morpho-v1,BBQAUSD,,1444526,9.90551,0.48448,True,2025-12-14T21:56:31.158038,morpho-v1
462bf18a-d7c7-49e9-9d36-ae826758897c,Monad,morpho-v1,BBQAUSD,,1444247,9.35474,1.47503,True,2025-12-14T21:56:31.158038,morpho-v1
4a61f9bc-3e9a-4849-8b2c-67574dd22a86,Polygon,fluid-lending,USDT0,,1421290,2.45,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
ea0477f6-4ead-4339-926d-eeff9e11580b,Arbitrum,euler-v2,USDC,EVK Vault eUSDC-5,1305758,5.94856,,True,2025-12-14T21:56:31.158038,euler-v2
7f819670-f133-4d88-ac17-962d9a9d29a9,Polygon,morpho-v1,BBQUSDC,,1237295,6.29575,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
35643b7f-934d-4343-9f42-ce3d261bd6ba,Base,morpho-v1,CBADA,,1233028,,,True,2025-12-14T21:56:31.158038,morpho-v1
47548a32-63c2-4485-b348-eac2cc3a587f,Base,morpho-v1,RE7USDC,,1225271,5.28384,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
6909ddbe-3535-40bd-9732-173c499fe50a,Base,fluid-dex,USDC-WSTUSR,,1176903,0.09524,,True,2025-12-14T21:56:31.158038,fluid-dex
bbe79ed7-aa06-47cc-917d-a3a119f08fdd,Polygon,fluid-dex,AUSD-USDC,,1133403,0.00482,,True,2025-12-14T21:56:31.158038,fluid-dex
34b65551-cca1-48f4-9a62-2145c24e92a4,Base,morpho-v1,CSUSDC,,1070690,5.91341,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
305edf0e-a304-42db-b2f1-7a427841bc80,Base,morpho-v1,GTUSDCF,,964934,5.38289,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
1e3566c2-fe29-4e2b-a127-d8fa608a388a,Arbitrum,morpho-v1,STEAKUSDC,,839789,4.10536,0.21078,True,2025-12-14T21:56:31.158038,morpho-v1
581dba51-e158-4bb7-9b16-990532a910dd,Katana,morpho-v1,BBQAUSD,,822716,3e-05,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
8d271d60-5cbb-4ba1-9fc3-f5b7e818a0c4,Base,morpho-v1,APUSDC,,803039,5.40033,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
c29704a4-3537-459d-bc4d-1f8812f28bcd,Base,morpho-v1,EDGEUSDC,,760690,3.4479,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
b37b45c8-a9fd-4afe-a666-2b6cb0fbe685,Arbitrum,euler-v2,SUSDC,EVK Vault esUSDC-1,706807,1e-05,,True,2025-12-14T21:56:31.158038,euler-v2
a5a41daf-40da-435f-854c-4a9e9df99d32,Hyperliquid,morpho-v1,GTUSDT0,,676762,3.12187,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
b66bc273-8292-42f8-a4f6-212da9254423,Arbitrum,morpho-v1,MCUSDC,,652166,0.0,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
2233ee0d-e68e-4256-83ef-c9fd04f57c4b,Linea,euler-v2,USDT,EVK Vault eUSDT-1,602146,2.66133,,True,2025-12-14T21:56:31.158038,euler-v2
508568ca-509e-4cc8-829a-f68eac16c6e1,Arbitrum,fluid-dex,WSTUSR-USDC,,596364,0.08003,,True,2025-12-14T21:56:31.158038,fluid-dex
30a02746-0948-4c69-9c42-27f23767ca20,Hyperliquid,morpho-v1,HYPERUSDT0,,553195,6.69903,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
33fecd5d-bb63-43ab-9fbf-51137206192d,Base,morpho-v1,MEVFUSDC,,550710,0.36947,0.15684,True,2025-12-14T21:56:31.158038,morpho-v1
ba68527f-8ec2-4c55-827a-8f4673ae047c,Base,morpho-v1,STEAKUSDC,,521451,5.40028,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
32528946-f8ce-403f-897c-5feb4e988a6f,Avalanche,euler-v2,UTY,EVK Vault eUTY-1,496123,0.0066,,True,2025-12-14T21:56:31.158038,euler-v2
cbd07875-9dc3-4b17-909f-e1d3c6e9ebda,Base,morpho-v1,UUSDC,,471947,3.81856,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
d710ca08-6f7d-4617-8909-7d00486a226c,Arbitrum,euler-v2,USDC,EVK Vault eUSDC-1,468894,3.44081,,True,2025-12-14T21:56:31.158038,euler-v2
081c82df-cb69-49fd-948c-fb17f98f7353,Base,euler-v2,YOUSD,EVK Vault eyoUSD-1,448088,0.01096,,True,2025-12-14T21:56:31.158038,euler-v2
49d63732-5d8e-44ec-b254-93d234625ff9,Hyperliquid,morpho-v1,FEUSDHL2,,421801,9.45004,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
f506d5a5-62ca-4bba-85f4-669f01eaf0c8,Arbitrum,fluid-lending,SYRUPUSDC,,397408,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
26ed91af-1734-4d66-b9cd-edc3f084152e,Hyperliquid,morpho-v1,HBUSDT,,353241,,,True,2025-12-14T21:56:31.158038,morpho-v1
8c0c396d-1feb-4eca-b1e8-b84aeb735f92,Base,morpho-v1,SIRLOINUSDC,,349340,5.39939,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
92a97f48-005e-4819-a838-f442ea92c401,Base,morpho-v1,GTUSDCF,,334619,5.39983,0.21226,True,2025-12-14T21:56:31.158038,morpho-v1
244cd5d7-952f-4178-9c67-80002e69ff94,Arbitrum,fluid-lending,SUSDE,,326416,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
aeeaedb8-4f92-4f4d-b439-426a056edc54,Arbitrum,fluid-lending,SUSDE,,289479,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
d5dbab56-465c-4063-bb6a-7caa87b9abb3,Base,morpho-v1,HYUSD,,242811,,,True,2025-12-14T21:56:31.158038,morpho-v1
966430a6-9a8b-421d-9576-a7a20082cebf,Unichain,euler-v2,SUSDC,EVK Vault esUSDC-1,232865,0.69962,,True,2025-12-14T21:56:31.158038,euler-v2
bc97592b-174c-473b-8883-57c87ea5ee12,Arbitrum,fluid-lending,USDAI,,228309,0.0,0.0,True,2025-12-14T21:56:31.158038,fluid-lending
0e7603b7-ab05-485f-b7d3-ae3ac3545529,Base,morpho-v1,GTEURCC,,218420,1.64586,1.08751,True,2025-12-14T21:56:31.158038,morpho-v1
ad84e9e8-709a-46bb-befe-4b5bbbc85e38,Base,morpho-v1,APVCHF,,213427,0.00805,0.0,True,2025-12-14T21:56:31.158038,morpho-v1
